流域面积,相对高差,平均坡度,ndvi,clay,sand,silt,一级道路密度,二级道路密度,三级道路密度,四级道路密度,高速公路密度,铁路密度,断裂带密度,雨季降雨量均值,暴雨数量,特大暴雨数量,大暴雨数量,大雨数量,发生
83.9570007,3548,34.2550011,0.44638,20.6667004,46.6543007,32.6790009,0,0.008097,0,0.0001245,0,0,0.0000012,4.9018402,0.719169,0.719169,0.719169,0.719169,1
56.1369019,2893,32.2528,0.551241,20.6544991,47.2000008,32.1455002,0,0,0.0601046,0.0001889,0,0,0.000088,4.0039601,0.480864,0.480864,0.480864,0.480864,1
13.2056999,1530,36.232399,0.633371,24.1537991,40.3846016,35.4614983,0,0.318424,0,0.0008176,0,0,0.0006322,4.7209501,0.113119,0.113119,0.113119,0.113119,0
51.389801,2965,33.6278992,0.501455,20.9582996,44.9583015,34.0833015,0,0.0002726,0,0.0002115,0,0,0.0022998,4.86344,0.440201,0.440201,0.440201,0.440201,1
174.0469971,2889,31.4365997,0.588174,21.1534004,46.0368004,32.8097992,0,0.0075796,0,0.0000636,0,0,0.0008988,4.1831799,1.49087,1.49087,1.49087,1.49087,1
0.654781,726,38.5078011,0.707029,24,41,35,0,1.17959,0,0.0169885,0,0,0.0170701,4.9488301,0.0056088,0.0056088,0.0056088,0.0056088,1
64.3587036,3017,31.9020004,0.552232,21.1093998,46.1719017,32.7187996,0,0,0,0.0001733,0,0,0.0050732,4.1610298,2,2,2,2,1
29.6537991,2199,36.6495018,0.672093,25.0345001,36.8620987,38.1034012,0,0.0029464,0,0.0003804,0,0,0.0114086,4.95227,0.254012,0.254012,0.254012,0.254012,1
87.6791992,2321,33.1227989,0.581626,21.8941002,46.6706009,31.4353008,0,0.0151862,0,0.0001292,0,0,0.0034803,5.4075499,0.751053,0.751053,0.751053,0.751053,0
4.80303,1673,39.093399,0.689612,23,45,32,0,0.010068,0,0.0023663,0,0,0.0158081,4.9488301,0.0411424,0.0411424,0.0411424,0.0411424,1
73.2966003,2881,31.0216999,0.522593,18.6571007,51.6713982,29.6714001,0,0,0.0003632,0.000156,0,0,0.0003458,4.26823,0.627853,0.627853,0.627853,0.627853,0
47.2148018,3009,34.8903008,0.543372,23.4545002,45.7044983,30.8409004,0,0.0097729,0,0.000245,0,0,0.002126,5.2622199,0.404438,0.404438,0.404438,0.404438,1
114.4039993,2962,32.8293991,0.554119,22.1742992,45.3852997,32.4403992,0,0.0025338,0,0.0001012,0,0,0.0030553,5.2287502,0.979975,0.979975,0.979975,0.979975,1
39.4178009,3049,35.4334984,0.556594,20.6485996,49.3242989,30.0270004,0,0.0118862,0,0.0002948,0,0,0.0004691,4.4353199,0.337649,0.337649,0.337649,0.337649,1
50.9578018,2678,36.5607986,0.649318,23.1667004,44.3125,32.5208015,0,0.0019009,0,0.0002322,0,0,0.0008837,5.1686001,0.436501,0.436501,0.436501,0.436501,1
24.9521999,1441,29.9860992,0.542649,23.6364002,44.3181992,32.0455017,0,0.160776,0,0.0004927,0,0,0.0004285,6.1777201,0.213739,0.213739,0.213739,0.213739,0
17.7099991,2814,34.0451012,0.672821,23.5555992,43.3333015,33.1110992,0,0.0195772,0,0.0006959,0,0,0.005583,5.0107999,0.151703,0.151703,0.151703,0.151703,1
28.8272991,2591,34.4578018,0.666264,23.9258995,43.1851997,32.8889008,0,0.185387,0,0.0004303,0,0,0.0001252,5.3496399,0.246932,0.246932,0.246932,0.246932,1
57.8717003,1977,33.9687004,0.546376,20.9057007,47.9057007,31.1886997,0,0,0,0.000216,0,0,0.0045557,4.3396101,0.495725,0.495725,0.495725,0.495725,1
6.1278801,1499,34.8107986,0.621682,24.6667004,38.3333015,37,0,0,0,0.0020553,0,0,0.0215012,5.1231399,0.0524909,0.0524909,0.0524909,0.0524909,1
56.4813004,2980,31.9522991,0.5825,20.8076992,45.846199,33.346199,0,0.0009374,0,0.0002233,0,0,0.0051882,4.5001702,0.483814,0.483814,0.483814,0.483814,1
26.6128006,3098,37.1678009,0.624975,21.0417004,48.0416985,30.9167004,0,0,0,0.0004878,0,0,0.001023,4.7161798,0.227963,0.227963,0.227963,0.227963,1
32.5094986,1532,30.4368992,0.572594,22.3125,48.125,29.5625,0,0.0062152,0,0.0004017,0,0,0.0011178,6.8064499,0.278474,0.278474,0.278474,0.278474,0
48.0876007,1950,31.4027996,0.498381,21.6809006,44.6595993,33.6595993,0,0.128901,0,0.0002767,0,0,0.0010791,4.4075699,0.411914,0.411914,0.411914,0.411914,1
16.3080006,1931,36.6385994,0.717887,23.2667007,42.5332985,34.2000008,0,0,0,0.000818,0,0,0.0404222,5.1231399,0.139693,0.139693,0.139693,0.139693,1
99.9396973,2794,33.1604004,0.626014,23.2210999,46.115799,30.6632004,0,0.0022215,0,0.0001337,0,0,0.000453,6.0764999,0.856076,0.856076,0.856076,0.856076,1
23.6786995,2886,37.0796013,0.655854,21.5652008,48.043499,30.3913002,0,0.0064718,0,0.0005716,0,0,0.0049504,4.8193102,0.20283,0.20283,0.20283,0.20283,1
3.5801401,1017,36.0984993,0.701623,26,33,41,0,0.180717,0,0.0037872,0,0,0.0325534,5.33354,0.0306672,0.0306672,0.0306672,0.0306672,0
24.8330002,2339,34.9735985,0.719741,23.375,42.4583015,34.1666985,0,0.0004914,0,0.0005477,0,0,0.0131095,5.1887798,0.212717,0.212717,0.212717,0.212717,0
5.8357801,1827,36.3773003,0.664635,24,41,35,0,0.0699342,0,0.0023387,0,0,0.0172064,5.2961102,0.0499888,0.0499888,0.0499888,0.0499888,1
4.6385002,1204,36.3726006,0.697158,25,37,38,0,0.10026,0,0.0029593,0,0,0.0060133,5.64534,0.039733,0.039733,0.039733,0.039733,1
87.3293991,2500,32.5423012,0.588857,23.1205006,46.012001,30.8675003,0,0.0021936,0,0.0001579,0,0,0.0002992,6.4393101,0.748056,0.748056,0.748056,0.748056,0
22.6751003,1985,32.5064011,0.44549,24.9048004,43.3333015,31.7618999,0,0,0,0.0006168,0,0,0.0141431,4.5004001,0.194233,0.194233,0.194233,0.194233,0
26.8551998,2020,31.2129002,0.594898,22.4167004,47.625,29.9582996,0,0,0,0.0005228,0,0,0.0000563,7.52911,0.230039,0.230039,0.230039,0.230039,0
66.5786972,3114,36.4674988,0.618795,21.4426003,48.1638985,30.3934002,0,0.0006482,0,0.0002155,0,0,0.0010432,4.6047001,0.570308,0.570308,0.570308,0.570308,1
51.4219017,1970,30.7721996,0.567482,23.3395996,46.301899,30.3584995,0,0,0,0.0002842,0,0,0.004599,7.3022099,0.440476,0.440476,0.440476,0.440476,0
24.5545998,1995,31.2898998,0.579617,23.8332996,45.6666985,30.5,0,0,0,0.0005987,0,0,0.0009316,7.7099299,0.210333,0.210333,0.210333,0.210333,0
23.4687996,2417,33.6668015,0.680383,21.4783001,46.4347992,32.0870018,0,0,0,0.0006313,0,0,0.0017012,5.4428701,0.201032,0.201032,0.201032,0.201032,0
63.1216011,2506,35.6655006,0.662237,21.0690002,47.1724014,31.7586002,0,0,0,0.0002351,0,0,0.000246,5.68855,0.540695,0.540695,0.540695,0.540695,0
15.4415998,2164,35.0894012,0.669762,24.4666996,38.6666985,36.8666992,0,0.0200111,0,0.0009695,0,0,0.0006104,5.2797899,0.132271,0.132271,0.132271,0.132271,1
67.3464966,2660,36.1655998,0.680272,22.5079002,43.0951996,34.396801,0,0.0002446,0,0.0002224,0,0,0.0034258,5.2873802,0.576885,0.576885,0.576885,0.576885,1
140.2689972,3040,30.7579002,0.599496,22.7938995,46.2214012,30.9846992,0,0,0.0046311,0.0001085,0,0,0.0000247,4.4779401,2,2,2,2,1
17.0883007,2581,38.0503998,0.693565,23.2000008,43.2667007,33.5332985,0,0.0087778,0,0.0008981,0,0,0.0001949,4.6635799,0.146377,0.146377,0.146377,0.146377,1
47.9716988,2954,36.2863007,0.618881,23.6327,45.3264999,31.0408001,0,0.0012698,0,0.0003208,0,0,0.0000583,4.63975,0.410922,0.410922,0.410922,0.410922,1
31.6319008,1774,31.0214996,0.627906,17.9666996,48.9000015,33.1333008,0,0,0,0.0004861,0,0,0.0008594,5.6377501,0.270956,0.270956,0.270956,0.270956,1
0.691136,587,30.7378006,0.568832,26,33,41,0,0.777732,0,0.0222587,0,0,0.105837,5.0629902,0.0059202,0.0059202,0.0059202,0.0059202,1
67.3423004,1797,31.2478008,0.462371,20.7332993,49.6666985,29.6000004,0,0,0,0.0002303,0,0,0.0013465,6.7978601,0.576849,0.576849,0.576849,0.576849,0
19.8136005,2206,37.8457985,0.7099,23.2381001,42.0475998,34.7142982,0,0.0013225,0,0.000786,0,0,0.0077402,5.3895502,0.169722,0.169722,0.169722,0.169722,1
35.3175011,2432,33.3737984,0.641872,22.9412003,45.7058983,31.3528996,0,0,0.0002969,0.0004414,0,0,0.0055429,4.33602,0.302527,0.302527,0.302527,0.302527,1
12.8241997,1970,35.6671982,0.709885,21.4167004,48.4166985,30.1667004,0,0.0340926,0,0.0012168,0,0,0.0040366,5.3956399,0.109851,0.109851,0.109851,0.109851,1
49.0430984,2463,31.5212002,0.655524,24.2127991,43.7872009,32,0,0,0,0.0003206,0,0,0.0002933,8.3629103,0.420099,0.420099,0.420099,0.420099,0
40.4583015,2897,33.8848991,0.622168,22.5366001,46.902401,30.5610008,0,0,0,0.000391,0,0,0.0013898,4.7276301,0.346563,0.346563,0.346563,0.346563,1
50.5463982,2775,37.1739006,0.690127,23.2765999,42.9149017,33.8084984,0,0.0062237,0,0.0003174,0,0,0.0004258,5.0317998,0.432976,0.432976,0.432976,0.432976,1
12.2988005,2429,36.0225983,0.690871,23,43.5999985,33.4000015,0,0.0235538,0,0.0013092,0,0,0.0003163,5.0359302,0.105351,0.105351,0.105351,0.105351,1
32.5802002,1861,30.1667995,0.354927,20.4482994,49.344799,30.2068996,0,0.0142337,0,0.0004944,0,0,0.0006886,5.72124,0.279079,0.279079,0.279079,0.279079,1
30.6639004,2239,33.4394989,0.485183,21.0741005,45.703701,33.2221985,0,0.157467,0,0.0005255,0,0,0.0028973,5.4647398,0.262665,0.262665,0.262665,0.262665,0
76.8620987,2852,32.6571999,0.635039,22.5774994,46.6901016,30.7324009,0,0.0003025,0,0.0002105,0,0,0.0004148,4.4896102,0.658395,0.658395,0.658395,0.658395,1
30.7584991,2648,35.5119019,0.378251,23.0356998,44.0713997,32.8928986,0,0.0378068,0,0.0005283,0,0,0.000387,5.3959599,0.263475,0.263475,0.263475,0.263475,1
