Z流域面积,Z相对高差,Z平均坡度,Z乡县密度,Z雨季降雨量均值,Z大暴雨数量,Z暴雨数量,Z大雨数量,Zsand,Z断裂带密度,ZNDVI,ZLUCC,Zclay,Zsilt,发生
-0.256253451,0.333083619,0.814431358,-0.592078361,-1.513047372,0.889953945,0.650873686,0.362862216,0.715673921,-0.063331478,-0.082887556,0.001392539,-1.329512797,1.050638032,0
0.684292422,2.224895105,1.791935692,-0.592078361,-1.832518088,1.263355815,1.230767229,0.811965524,1.051868378,-0.147909956,-0.316461289,0.001392539,-1.190546641,0.32145821,0
0.751583397,-1.11345417,1.449678754,-0.592078361,-2.007450662,1.062417479,0.493667672,-0.854922804,0.796873339,-0.149401467,-1.63957823,5.961459234,-1.577250257,1.308542216,0
0.095842161,1.487184901,1.492124718,-0.592078361,-1.629918432,1.398605689,1.125628097,0.142699008,0.493658331,0.009512251,0.233137664,0.001392539,-0.936237125,0.783795067,1
0.362308589,1.197155277,1.146003812,-0.592078361,-1.166194763,1.021605421,0.768864482,0.59866139,0.738054553,-0.083898359,-0.881067251,0.001392539,-1.312726104,0.990469036,0
0.178187497,-1.006347795,1.104797134,-0.592078361,-1.115032595,1.003244114,0.721180788,0.856549775,0.425903626,-0.092403582,-1.058376895,0.001392539,-1.091119039,1.126506596,0
0.26601748,1.384892295,1.119984667,-0.592078361,-1.683594593,1.267990246,0.910854358,-0.184564282,0.318865378,-0.101066889,0.161913746,0.001392539,-0.879515674,0.963916786,1
1.466314946,2.758020097,1.442471231,-0.592078361,-1.218302176,1.350257483,1.201749895,0.871079853,0.989845039,-0.153020123,-0.895921929,0.001392539,-1.30507167,0.593126702,0
0.575035926,-1.392652812,1.439447091,-0.592078361,-1.928157716,1.002547058,0.420111299,-0.726895469,0.359571365,-0.151645639,-0.927459553,5.961459234,-0.87167648,0.889493745,0
-0.800361039,0.281335595,1.911213019,-0.592078361,-1.378331434,1.175010593,0.966588366,0.420842621,0.156081,-0.143026161,0.197698052,0.001392539,-0.844873248,1.159696131,0
0.422951946,2.002258257,1.45534079,-0.592078361,-1.252145642,1.572964122,1.541962197,1.101811749,0.767018292,-0.116609742,-0.574329925,0.001392539,-1.255463464,0.857769926,0
4.352549248,1.899965651,1.176832207,-0.592078361,-1.856557201,1.219735305,0.80412265,-0.238751238,0.909403513,-0.138802253,-0.059072092,0.001392539,-1.237462492,0.611981411,1
-1.202457767,-0.668180474,1.835247401,-0.592078361,-1.175214955,1.209700468,1.137064513,0.964839582,0.23791859,0.117353734,0.621748161,0.001392539,-0.865170374,1.065726302,0
0.838439714,2.084092341,1.243578275,-0.592078361,-1.877405691,0.96422882,0.373030765,-0.644950221,0.857792814,-0.072679398,-0.23309306,0.001392539,-1.209999259,0.648632898,1
-0.273409437,1.085235132,1.880784082,-0.592078361,-1.172148864,1.205979215,1.1340165,0.960864043,-0.312352365,0.027674593,0.423170116,0.001392539,-0.728645612,1.697637847,1
1.58556389,-0.663366705,1.427643261,-0.592078361,-0.911844712,0.853142936,0.603744678,0.497552651,0.636867898,-0.09791121,-0.894315627,0.001392539,-1.788972432,1.880202431,0
-1.069559342,0.32826985,1.828453058,-0.592078361,-1.175214955,1.209700468,1.137064513,0.964839582,0.769851001,0.097363435,0.526428497,0.001392539,-0.997142097,0.454869206,0
1.124785203,-1.277122339,0.629140809,-0.592078361,-1.747360295,0.866040161,0.252393857,-0.434977638,5.399976623,-0.14756247,-2.641470748,5.961459234,-2.970693489,-3.589636002,0
0.289196518,2.099737093,1.500251095,-0.592078361,-0.895880973,0.885834908,0.873368241,0.628379419,0.863537369,-0.119363556,-0.326917659,0.001392539,-0.937160923,0.218854471,0
2.441752566,1.992630717,1.344563632,-0.592078361,-0.927362605,0.932749674,0.841222513,0.550129633,0.821089348,-0.104643283,-0.262422561,0.001392539,-1.106111249,0.544542859,0
0.039402175,2.137043808,1.685275338,-0.592078361,-1.630426757,0.934938977,0.433381432,-0.14172991,1.231594729,-0.145609456,-0.225890726,0.001392539,-1.261085542,0.155101187,1
0.409111886,1.659277167,1.688152859,-0.592078361,-0.979327212,1.167376311,1.14671538,1.012825336,0.678425118,-0.139041804,0.290926578,0.001392539,-0.975142363,0.560914312,1
-0.424035669,-0.657349493,1.05024114,-0.592078361,-0.150246851,0.868391649,0.820505224,0.760452246,0.537130571,-0.146252789,-0.66865085,0.001392539,-0.997142097,0.811202512,0
-0.656055753,1.726669942,1.342058889,-0.592078361,-1.119979398,1.684854935,1.764714154,1.455167557,0.548208268,-0.064604236,0.428082857,0.001392539,-0.923818712,0.681110158,1
-0.299888209,1.547357022,1.480707132,-0.592078361,-0.81796084,1.705700324,1.870633466,1.759767867,0.528513231,-0.151056195,0.389214079,0.001392539,-0.874949544,0.635866318,1
0.63061407,-1.366177078,-0.268801259,-0.592078361,-1.671204844,1.404668692,1.043426225,1.025381795,0.864095896,-0.080876054,-1.579960877,0.746400876,-1.440448355,0.994540732,0
-1.02711481,0.141736275,1.608137774,-0.592078361,-1.019847313,1.897021082,2.102159775,1.804729914,-0.116707245,0.187543125,0.132572411,0.001392539,-0.777184779,1.472964367,0
0.586069502,2.046785626,1.091287984,-0.592078361,-1.574869884,1.000308313,0.620038896,0.297910599,0.882381175,-0.070857144,-0.095867146,0.001392539,-1.28646381,0.728980952,0
-0.370834616,2.104550862,1.933981106,-0.592078361,-1.382583331,1.30233178,1.127960356,0.835804346,1.174345499,-0.136835743,0.145663063,0.001392539,-1.255582274,0.234288782,1
-0.181920722,-0.396202487,0.94211509,-0.592078361,0.424322801,1.01332315,1.137064513,1.104821304,0.836342552,-0.135333144,-0.432524129,0.001392539,-1.063127958,0.454869206,0
0.317158581,0.701337,1.19985364,-0.592078361,-1.657487334,1.327703726,0.970505225,0.956314733,0.724583459,-0.135947109,-0.546460667,0.001392539,-1.171225921,0.792795209,0
-0.700971907,0.761509121,1.829558937,-0.592078361,-1.019847313,1.897021082,2.102159775,1.804729914,0.441821381,0.487255042,0.69031446,0.001392539,-0.961945141,0.902831231,1
1.978356336,1.638818646,1.343724313,-0.592078361,-0.170088045,1.114742389,1.175990116,1.502831316,0.918233407,-0.145864198,0.155009107,0.001392539,-0.967963169,0.182671361,1
-0.464835101,1.837386645,1.853792719,-0.592078361,-1.290660076,1.441342237,1.309358117,0.979481798,1.174584939,-0.074623779,0.327967094,0.001392539,-1.186495018,0.12730731,0
-1.108737352,-0.39259216,1.698797956,-0.592078361,-0.832311205,1.789696155,1.897197664,1.666875867,-0.825946231,0.362611887,0.599551008,0.001392539,-0.601226929,2.287440495,0
-0.427854499,1.165865774,1.653300915,-0.592078361,-0.961340379,1.881669366,2.037434203,1.730301615,0.431848053,0.054617144,0.702330301,0.001392539,-0.947652701,0.896050249,0
-1.036472884,0.648385534,1.810587734,-0.592078361,-0.86567355,2.042404302,1.923536673,1.286573695,0.23791859,0.119512749,0.377957601,0.001392539,-0.865170374,1.065726302,0
-1.074830422,-0.092934997,1.92524182,-0.592078361,-0.554394238,1.886647268,2.212840247,1.919192889,-0.294013821,-0.057787259,0.571471454,0.001392539,-0.733198652,1.676583399,0
1.574357262,1.437843762,1.339234477,-0.592078361,0.153277977,1.205272045,1.349192448,1.416140784,0.904430039,-0.148300527,-0.0627697,0.001392539,-0.981239431,0.224270715,0
-0.496987642,0.704947327,1.359151724,-0.592078361,-1.573408242,1.624233522,1.257548637,1.075103276,0.548208268,0.070989547,-0.807927158,0.001392539,-0.745762304,0.406387504,0
-0.363068816,-0.952192886,1.645707149,-0.592078361,0.853338088,1.22453679,1.194728879,1.30556898,1.12980947,-0.152147804,-0.473939452,0.001392539,-1.013928791,-0.070366128,0
0.909562168,2.074464802,1.646986329,-0.592078361,-1.481948682,1.163870803,0.862848836,0.700904052,1.190596036,-0.136514662,0.112793327,0.001392539,-1.202674825,0.127734908,1
0.423980363,0.760305679,1.101093253,-0.592078361,0.921845735,1.338303026,1.282938727,1.421977807,0.94119996,-0.080190333,-0.184901568,0.001392539,-0.946385813,0.114194301,0
-0.436773679,-0.914886171,0.726435755,-0.592078361,1.022655302,1.307889127,1.217489118,1.384784748,0.503884795,-0.138282489,-0.495757095,0.001392539,-0.733198652,0.454869206,0
-0.471559713,1.204375932,1.317625378,-0.592078361,-0.734861843,2.022736905,2.02189593,1.442765154,0.960655049,-0.126092462,0.470164239,0.001392539,-1.197963455,0.472584428,0
0.798806371,1.459505725,1.636128289,-0.592078361,-0.515879805,1.892936505,2.335624417,2.079836204,1.058743683,-0.149142575,0.365597415,0.001392539,-1.251979462,0.405715618,0
-0.72872899,1.070793823,1.558044426,-0.592078361,-0.880220273,2.000119099,1.764376372,1.076824853,-0.072371088,-0.143370812,0.411306081,0.001392539,-0.803579224,1.445821791,1
0.934160336,1.548560464,1.714265007,-0.592078361,-0.873454809,2.008646707,1.771864023,1.074795165,0.516544731,-0.098773866,0.470532259,0.001392539,-1.06208535,0.942903504,1
3.270395558,-0.878782898,0.082488714,-0.592078361,-1.531605006,1.749738093,1.297913724,0.82485786,0.903844626,-0.152648354,-0.651436243,0.746400876,-1.130116908,0.454869206,0
-0.675973249,1.45709884,1.655539099,-0.592078361,-1.429467252,1.291850093,1.029046106,0.909280812,0.539351487,-0.1499528,0.55038985,0.001392539,-0.970747652,0.767077961,1
0.313445403,1.891541554,1.380894231,-0.592078361,-1.450342093,1.31657405,1.037458745,0.89490479,0.813269976,-0.152116647,0.119832365,0.001392539,-0.913643592,0.259557849,0
-0.210036529,0.511193098,1.003625262,-0.592078361,-0.562246902,2.056744707,2.048436197,2.31756708,1.288485305,-0.139426973,0.18557706,0.001392539,-1.661395421,0.685630814,0
-1.201293053,-0.846289953,0.569415748,-0.592078361,-1.073460569,2.055193279,1.798299673,1.436522035,-0.825946231,1.523436802,-0.224202429,0.001392539,-0.601226929,2.287440495,1
0.934025903,0.589416855,1.111058612,-0.592078361,0.469557644,1.68031377,1.637490653,1.849650043,1.380669078,-0.131710021,-0.715019821,0.001392539,-1.292402547,-0.024836833,0
-0.58866218,1.050335302,2.013290786,-0.592078361,-0.782387543,2.164683538,1.977670436,1.816250169,0.37723166,-0.030433181,0.644068216,0.001392539,-0.965719623,1.007551989,0
-0.09196009,-1.470876569,-1.202327991,-0.592078361,-1.646586429,1.455172116,0.976215303,0.404912694,1.035817206,-0.065238477,0.120211874,0.746400876,-1.261085542,0.454869206,0
-0.812583252,0.803629606,1.645920599,-0.592078361,-0.776959617,2.177889776,1.999336949,1.94823916,1.224214163,-0.089098688,0.643974906,0.001392539,-1.206092878,0.081574508,0
0.347770086,-1.053282049,0.48327183,-0.592078361,1.022655302,1.307889127,1.217489118,1.384784748,0.857566562,-0.148393446,-0.62519087,0.001392539,-1.084190553,0.454869206,0
0.072736938,1.836183203,1.300026105,-0.592078361,-1.371290134,1.767151763,1.40390544,0.981077353,1.022519099,-0.131024458,0.142724818,0.001392539,-1.053229979,0.154531056,0
0.395931651,1.678532246,1.601329709,-0.592078361,-1.101261532,2.019226529,1.758135538,1.386828586,0.492568163,-0.146294908,0.528192347,0.001392539,-0.960638734,0.823113896,1
-0.829415589,1.345178695,1.666170983,-0.592078361,-1.097580011,2.044304071,1.780461354,1.384784748,0.583674454,-0.148029803,0.535021089,0.001392539,-0.997142097,0.739936163,1
-0.179655639,0.645978649,0.919999555,-0.592078361,-0.488988385,2.110124752,1.955006837,2.781508577,1.347635858,-0.142132253,-1.300964163,0.001392539,-1.333894419,0.089759846,0
-0.241048585,0.987756296,1.399958946,-0.592078361,-0.713924524,2.175042368,2.008167445,2.226424958,0.863431346,-0.107145239,-0.54576536,0.001392539,-1.251306373,0.70373208,0
1.239013909,1.854234839,1.318158243,-0.592078361,-1.583774471,1.550748968,1.093450155,0.552355562,0.994605958,-0.146468675,0.211501419,0.001392539,-1.05290023,0.196761902,0
-0.238017902,1.614749797,1.605246531,-0.592078361,-0.776986393,2.189034056,2.017569193,2.07261295,0.646722011,-0.146910235,-1.099097261,0.001392539,-0.962921799,0.590621701,1
-1.062302907,0.12970185,1.557098636,-0.592078361,-1.097580011,2.044304071,1.780461354,1.384784748,-0.825946231,0.42473863,0.497519244,0.001392539,-0.601226929,2.287440495,0
-1.203227558,-1.375804618,0.458411926,-0.592078361,1.079771996,1.574702081,1.284732254,1.618862079,0.792085533,1.679826831,-3.372479221,0.001392539,-1.017729704,0.452588683,0
0.75511399,-1.401076908,-0.624460874,-0.592078361,-1.500996364,1.278712401,0.893619199,0.117404267,0.24653593,-0.146817855,-0.458401483,0.746400876,-0.477807009,0.454869206,0
-1.187998434,-0.923310268,-0.525260882,-0.592078361,-0.431016125,2.0933984,1.941310564,2.924583691,1.195250424,0.629457028,-4.661208784,0.001392539,-1.230534005,0.163612369,0
0.207226007,1.405350816,1.561388489,-0.592078361,-1.216091648,1.66245325,1.432021716,0.734849662,0.435850575,-0.110369348,0.61072566,0.001392539,-0.902003738,0.819489605,1
0.362846813,1.428216222,1.35267705,-0.592078361,-0.641004747,2.140906842,2.054773672,1.514267735,0.675286513,-0.147326499,-0.161716992,0.001392539,-1.038198501,0.663008894,0
-0.138234696,-1.528641805,0.796992173,-0.592078361,-1.363054103,1.111511809,0.815366093,-0.155014194,0.23791859,-0.147949541,-0.08056837,0.746400876,-0.469255207,0.454869206,0
-1.134016335,-0.2036517,2.019951977,-0.592078361,-1.033663002,1.548996401,1.446039817,0.543522601,-0.825946231,0.21542975,0.571044939,0.001392539,-0.601226929,2.287440495,0
-0.267239058,1.460709167,1.55884385,-0.592078361,-1.363794061,1.112410379,0.815784255,-0.153544393,0.937316652,-0.150092875,0.408303773,0.001392539,-0.958038758,0.1381196,0
0.852228444,1.575036197,1.27418026,-0.592078361,-0.383695285,2.192765426,2.227517652,1.513819985,0.808455791,-0.151919706,-0.250441885,0.001392539,-1.012041675,0.41874707,0
-0.049001349,1.57142587,1.719967194,-0.592078361,-1.07281879,1.496931811,1.371075865,0.460723506,0.444786999,-0.137786612,0.679706634,0.001392539,-0.945818194,0.873428328,1
