流域面积,相对高差,平均坡度,乡县密度,雨季降雨量均值,大暴雨数量,暴雨数量,大雨数量,sand,silt,clay,LUCC,NDVI,断裂带密度,发生
174.0469971,2849,29.64439964,0,4.184420109,81.20439911,35.86019897,17.40180016,46.04940033,32.77159882,21.17900085,20,0.589561999,0.000898813,1
0.654780984,715,34.58649826,0,4.948830128,81,40,26,41,35,24,20,0.706112981,0.0170701,0
64.35870361,3002,30.14539909,0,4.161029816,76,30.5,14.5,45.66130066,32.95159912,21.38710022,20,0.559771001,0.00507319,1
29.65379906,2172,34.92829895,0,4.952270031,80.92420197,39.96210098,25.97159958,36.86209869,38.10340118,25.03450012,20,0.672118008,0.0114086,1
87.67919922,719,31.52700043,0,5.244309902,73.73729706,33.36869812,22.66180038,44,39,17,20,0.446574986,0.00348029,0
4.803030014,1543,34.53549957,0,4.948830128,81,40,26,45,32,23,20,0.689795017,0.0158081,0
73.29660034,209,25.53339958,0,4.306930065,74,29,16,79.81739807,12.13689995,8.045649529,100,0.147476003,0.000345775,0
47.21480179,3015,32.0719986,0,5.262219906,74.40319824,36.72119904,23.59639931,45.70449829,30.84090042,23.4545002,20,0.54370898,0.00212599,0
114.4039993,2926,30.90340042,0,5.226900101,75.3588028,36.32149887,23.03739929,45.38529968,32.44039917,22.17429924,20,0.554750025,0.00305529,0
39.4178009,3046,33.46080017,0,4.438119888,75.40339661,31.25040054,18.09490013,48.47219849,30.52779961,21,20,0.561003983,0.00046907,1
50.95780182,2649,33.48239899,0,5.168600082,80.13790131,40.11999893,26.34280014,44.3125,32.52080154,23.16670036,20,0.649478972,0.00088369,1
24.95219994,724,28.69420052,0,6.098760128,74.04789734,36.06389999,24.53989983,43.25,33.75,23,20,0.485206991,0.000428456,0
17.70999908,2705,30.88459969,0,5.010799885,90.67839813,47.80419922,29.50279999,43.33330154,33.11109924,23.55559921,20,0.67295903,0.00558298,1
28.82729912,2556,31.9253006,0,5.349639893,91.10299683,49.12120056,31.67880058,43.18519974,32.88890076,23.92589951,20,0.666305006,0.000125214,1
57.87170029,135,18.79339981,0,4.392370224,84.97129822,38.83570099,26.43250084,45.70869827,34.65039825,19.64089966,30,0.329198003,0.00455573,0
6.127880096,1388,32.88180161,0,5.123139858,95,52,32,38.33330154,37,24.66670036,20,0.622370005,0.0215012,0
56.48130035,2971,29.00230026,0,4.500450134,76.73490143,33.57130051,21.23559952,45.84619904,33.34619904,20.8076992,20,0.58326298,0.00518823,0
26.6128006,3019,35.32759857,0,4.716179848,82.88680267,39.88679886,25.07819939,48.04169846,30.91670036,21.04170036,20,0.62461102,0.00102296,1
32.5094986,941,27.88260078,0,6.74338007,77,40,27,45.5,32,22.5,20,0.525629997,0.00111782,0
48.08760071,1853,29.81719971,0,4.407760143,83.4036026,37.92900085,25.93910027,44.6595993,33.6595993,21.68090057,20,0.506124973,0.00107906,0
16.30800056,1903,34.54380035,0,5.123139858,95,52,32,42.53329849,34.20000076,23.26670074,20,0.717850983,0.0404222,1
99.93969727,2632,30.89710045,0,6.076499939,79.06580353,40.48400116,29.84329987,46.11579895,30.66320038,23.22109985,20,0.626210988,0.000452988,1
23.67869949,2797,34.72570038,0,4.819310188,85.71829987,42.14229965,26.10460091,48.04349899,30.3913002,21.56520081,20,0.655820012,0.00495044,0
3.580140114,944,33.56230164,0,5.333539963,92.81390381,49.45149994,31.01519966,33,41,26,20,0.702313006,0.0325534,0
24.83300018,2239,33.22079849,0,5.188779831,94.68730164,51.19520187,31.46829987,42.45830154,34.16669846,23.375,20,0.719907999,0.0131095,0
5.835780144,1809,34.40140152,0,5.296110153,97.96130371,49.77899933,28.29840088,41,35,24,20,0.664377987,0.0172064,0
4.638500214,1193,35.26200104,0,5.645339966,94.78869629,53.37620163,32.81769943,37,38,25,20,0.697506011,0.00601334,0
87.32939911,2465,30.86339951,0,6.439290047,80.90979767,42.63759995,29.22400093,46.01200104,30.86750031,23.12050056,20,0.588928998,0.000299181,0
22.67510033,1856,31.0128994,0,4.502089977,89.44360352,41.49810028,26.78770065,43.33330154,31.76189995,24.90480042,20,0.461364001,0.0141431,0
26.85519981,479,33.16379929,0,7.224699974,81.30220032,40.71699905,28.4340992,47.70679855,29.4204998,22.87280083,20,0.518540025,5.63E-05,0
66.5786972,2994,33.17340088,0,4.604700089,80.0664978,36.5904007,24.11450005,48.16389847,30.39340019,21.44260025,20,0.618983984,0.00104323,1
51.4219017,1902,29.07589912,0,7.301559925,83.61949921,41.81380081,29.26569939,46.28850174,30.32690048,23.38459969,20,0.568020999,0.00459902,0
24.55459976,510,26.26370049,0,7.414659977,83,41,29,43,32,25,20,0.514805019,0.000931626,0
23.46879959,2271,30.70120049,0,5.44287014,97.56069946,51.0019989,29.41419983,46.43479919,32.0870018,21.47830009,20,0.680163026,0.00170119,0
63.1216011,2483,33.09189987,0,5.688549995,94.91680145,54.9029007,33.96530151,47.17240143,31.75860023,21.06900024,20,0.662262022,0.000246022,0
15.44159985,2160,32.50579834,0,5.279789925,97.09999847,47.79999924,26.79999924,38.66669846,36.86669922,24.4666996,20,0.67008698,0.000610397,1
67.34649658,2557,33.67839813,0,5.287380219,97.2736969,47.89310074,26.78549957,43.09519958,34.39680099,22.50790024,20,0.680226028,0.00342583,1
140.2689972,540,21.43020058,0,4.548989773,92,42,25,46.00759888,32,21.99239922,30,0.488153994,2.47E-05,0
17.0883007,2481,33.23759842,0,4.663579941,82.6733017,38.6568985,25.60309982,43.26670074,33.53329849,23.20000076,20,0.693897009,0.000194872,1
47.97169876,2842,31.17609978,0,4.640160084,83.17690277,38.76150131,25.50040054,45.32649994,31.04080009,23.63269997,20,0.620189011,0.000058267,0
31.63190079,1695,28.34429932,0,5.636529922,98.25340271,51.33200073,35.66360092,48.90000153,33.13330078,17.9666996,20,0.631443977,0.000859374,0
0.691136003,567,25.08510017,0,5.062990189,98.22180176,48.22180176,29.3696003,33,41,26,20,0.561293006,0.105837,1
67.34230042,1760,29.15069962,0,6.794129848,90.58589935,46.22230148,32.32089996,49.59320068,29.64410019,20.76269913,20,0.477268994,0.00134655,0
19.81360054,2143,35.92290115,0,5.389550209,100.4520035,50.45209885,32.08229828,42.04759979,34.71429825,23.23810005,20,0.709933996,0.00774022,0
35.31750107,48,11.78629971,0,4.419990063,86,38,22,47,32,21,30,0.62025398,0.00554294,0
12.82419968,1938,33.16540146,0,5.395639896,100.7210007,50.7215004,33.02519989,48.41669846,30.16670036,21.41670036,20,0.709918022,0.00403663,0
49.04309845,395,24.43849945,0,7.414659977,83,41,29,45.6595993,32,22.3404007,20,0.492646992,0.000293315,0
40.45830154,2796,30.56909943,0,4.728849888,92.35469818,43.31790161,26.11599922,46.90000153,30.52499962,22.57500076,20,0.624108016,0.00138983,0
50.54639816,2665,32.83069992,0,5.031799793,97.48919678,47.72240067,29.01460075,42.91490173,33.80849838,23.27659988,20,0.690096974,0.000425797,1
12.29880047,2388,33.31740189,0,5.035930157,98,48,29,43.59999847,33.40000153,23,20,0.691266,0.000316272,1
32.5802002,1807,27.71660042,0,5.718719959,99.34069824,50.17029953,38.97790146,49.34479904,30.20689964,20.44829941,20,0.376960009,0.000688588,0
30.66390038,2091,31.31920052,0,5.466360092,100.663002,50.83129883,35.01250076,45.70370102,33.22219849,21.07410049,20,0.506244004,0.00289734,0
76.86209869,2811,30.7052002,0,4.490459919,87.94680023,39.45769882,23.05330086,46.69010162,30.73240089,22.57749939,20,0.63588202,0.000414827,0
